pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-05-05 00:00:00,2013-05-05 00:09:00,5,540,2.08,-73.964821,40.760326,-73.983955,40.775711
2013-05-05 00:00:00,2013-05-05 00:43:00,1,2580,8.43,-73.952782,40.776497,-73.951576,40.72356
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,1.85,-73.971176,40.758411,-73.989372,40.740574
2013-05-05 00:00:00,2013-05-05 00:25:00,2,1500,2.21,-73.978577,40.74118,-73.99025,40.714188
2013-05-05 00:00:00,2013-05-05 00:01:00,1,60,0.0,-73.966049,40.759041,-73.966049,40.759041
2013-05-05 00:00:00,2013-05-05 00:25:00,1,1500,4.0,-73.991364,40.766201,-73.994354,40.721207
2013-05-05 00:00:00,2013-05-05 00:08:00,6,480,2.03,-73.975555,40.752724,-73.955338,40.768875
2013-05-05 00:00:00,2013-05-05 00:10:00,1,600,3.67,-73.977158,40.762287,-73.943672,40.802071
2013-05-05 00:00:00,2013-05-05 00:10:00,1,600,2.34,-73.973701,40.764042,-73.94619,40.773766
2013-05-05 00:00:00,2013-05-05 00:10:00,1,600,2.89,-73.982056,40.775116,-73.987732,40.761669
2013-05-05 00:00:00,2013-05-05 00:11:00,1,660,2.79,-73.976372,40.749123,-73.990463,40.775742
2013-05-05 00:00:00,2013-05-05 00:06:00,1,360,1.36,-73.955368,40.80455,-73.946213,40.792423
2013-05-05 00:00:00,2013-05-05 00:13:00,3,780,3.45,-73.987679,40.744572,-73.951164,40.770092
2013-05-05 00:00:00,2013-05-05 00:17:00,1,1020,8.4,-74.007965,40.746685,-73.940285,40.846111
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,1.77,-73.970787,40.751881,-73.969795,40.756241
2013-05-05 00:00:00,2013-05-05 00:17:00,1,1020,0.71,-73.952454,40.714092,-73.975868,40.669777
2013-05-05 00:00:00,2013-05-05 00:10:11,1,610,1.0,-74.003326,40.732628,-73.990677,40.730679
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,1.12,-73.990112,40.732544,-74.003151,40.733067
2013-05-05 00:00:00,2013-05-05 00:10:00,2,600,2.92,-73.98909,40.723034,-73.951759,40.711697
2013-05-05 00:00:00,2013-05-05 00:10:00,1,600,2.42,0.0,0.0,0.0,0.0
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,2.05,-73.95768,40.776875,-73.982033,40.77446
2013-05-05 00:00:00,2013-05-05 00:19:00,5,1140,5.03,-73.987282,40.724968,-73.973839,40.779137
2013-05-05 00:00:00,2013-05-05 00:12:00,1,720,1.34,-74.009956,40.731956,-73.999985,40.734512
2013-05-05 00:00:00,2013-05-05 00:12:00,1,720,4.51,-74.009239,40.706608,-73.979767,40.743793
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,1.54,-73.97821,40.763687,-73.965919,40.759022
2013-05-05 00:00:00,2013-05-05 00:10:00,6,600,2.11,-73.981071,40.741531,-73.974251,40.756332
2013-05-05 00:00:00,2013-05-05 00:01:00,3,60,0.39,-73.985741,40.750286,-73.991249,40.751244
2013-05-05 00:00:00,2013-05-05 00:04:00,1,240,0.12,-74.003311,40.732651,-74.008347,40.716717
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,2.31,-73.994064,40.720463,-74.014282,40.717396
2013-05-05 00:00:00,2013-05-05 00:17:00,2,1020,11.88,-73.781349,40.644901,-73.869568,40.733105
2013-05-05 00:00:00,2013-05-05 00:16:00,1,960,3.08,-73.989319,40.757797,-74.005104,40.718761
2013-05-05 23:59:58,2013-05-06 00:05:45,4,347,1.3,0.0,0.0,0.0,0.0
